Country,Slope,CV,Classification
Angola,16885.42825361512,0.26935800255247244,Maduro
Bolivia (Plurinational State of),73521.69076751945,0.26011546629011906,Maduro
Brazil,31509503.893214673,0.3004518259402373,Maduro
Burundi,85.12124582869853,0.10852340009524133,Crecimiento
Cameroon,-48439.19466073413,0.15376455738962025,Declinante
Central African Republic,-4475.639599555059,0.6245826352346996,Declinante
Colombia,1078374.8502780863,0.15421240324155788,Crecimiento
Congo,231.1368186874304,0.02837155210454698,Crecimiento
Costa Rica,-24819.15016685205,0.0878526128699656,Declinante
Cuba,53148.38709677418,0.05478068803590268,Crecimiento
Côte d'Ivoire,712885.3348164625,0.5614232921962227,Volátil
Democratic Republic of Congo,-774.1935483870966,0.001826350641897853,Declinante
Dominican Republic,172809.06340378194,0.07795856516139647,Crecimiento
Ecuador,-488529.4771968853,0.39554334257439555,Declinante
El Salvador,241001.4327030033,0.22312737036061134,Crecimiento
Ethiopia,5771305.895439376,0.3376466818555013,Maduro
Gabon,-1006.1713014460506,0.5346379085657871,Declinante
Ghana,-34531.70189098998,1.4556608436637144,Declinante
Guatemala,214798.6651835372,0.11293003106392681,Crecimiento
Guinea,19735.261401557276,0.15397615882076304,Crecimiento
Guyana,18457.639751552793,0.31599462521414323,Maduro
Haiti,71546.16240266961,0.06595911449264229,Crecimiento
Honduras,431298.6874304782,0.29098319440646714,Maduro
India,1554638.4694104556,0.2047585526370767,Crecimiento
Indonesia,8629268.075639598,0.4785211259700897,Volátil
Jamaica,-8339.973303670742,0.30040254964516633,Declinante
Kenya,28812.01334816462,0.11581505664877047,Crecimiento
Lao People's Democratic Republic,80061.91950464399,0.08531478149398243,Crecimiento
Liberia,2162.4026696329247,0.12713690692890195,Crecimiento
Madagascar,471645.57063403766,0.3996831843635303,Maduro
Malawi,-2522.8031145717455,0.3585319997687685,Declinante
Mexico,3396560.6229143487,0.3012290550919107,Maduro
Nicaragua,314432.76974416006,0.30628418512525685,Maduro
Nigeria,7788.6540600667395,0.0629827490612492,Crecimiento
Panama,-8532.734149054504,0.05652112472024457,Declinante
Papua New Guinea,-1248.2936596218015,0.20793169664913086,Declinante
Paraguay,5406.006674082311,0.07823809657163197,Crecimiento
Peru,151635.15016685202,0.1060465970000167,Crecimiento
Philippines,5859951.056729698,0.6026433165573054,Volátil
Rwanda,-1036.671857619577,0.5137769859314647,Declinante
Sierra Leone,-5766.4071190211325,0.2463669873787709,Declinante
Sri Lanka,-832.1646273637388,0.329166605786241,Declinante
Tanzania,196751.10567296986,0.7158419489107023,Volátil
Thailand,2657139.043381534,0.5969749608094108,Volátil
Timor-Leste,0.0,0.0,Maduro
Togo,-2091.377085650722,0.6358205061887768,Declinante
Trinidad & Tobago,-5853.170189098998,0.16910153468221906,Declinante
Uganda,420655.39488320344,0.393673862238157,Maduro
Venezuela,1881218.2458286977,0.23326039039341884,Crecimiento
Viet Nam,5573589.837597329,0.8059494328839366,Volátil
Yemen,-250882.3529411765,0.20736149568668624,Declinante
Zambia,-2360.4210526315787,0.4175602720958722,Declinante
Zimbabwe,-7529.058954393769,0.3351002706325318,Declinante
