Country,Cluster,PC1,PC2
Angola,0,-1.5638087379454095,-0.021191666211541456
Bolivia (Plurinational State of),0,-1.52640320563659,-0.012458703108534377
Brazil,1,37.77162594175608,-0.23628610467360872
Burundi,0,-1.6294014571976614,-0.008309821872010773
Cameroon,0,-1.402763961290944,-0.09333513374420141
Central African Republic,0,-1.593645305626528,-0.020872548404138762
Colombia,2,2.228456065698316,-0.7799307938940105
Congo,0,-1.6263850066203984,-0.00913024338928578
Costa Rica,0,-0.5886912255215109,-0.3265570017950634
Cuba,0,-1.0407506651568463,-0.16393298832364261
Côte d'Ivoire,0,-1.0952248457368072,0.09208633171411981
Democratic Republic of Congo,0,-1.0708331420036477,-0.17437200457999696
Dominican Republic,0,-0.6506101442914594,-0.23463341413827046
Ecuador,0,-0.9644273377465233,-0.38317174597372006
El Salvador,0,-1.0078705544200728,-0.10150080043425054
Ethiopia,2,4.708239830386208,0.21405863325030963
Gabon,0,-1.6328149059792936,-0.007668341152359874
Ghana,0,-1.6134578524934784,-0.025492881396143363
Guatemala,0,-0.7331292625949737,-0.19710461195160822
Guinea,0,-1.5021936375196638,-0.038737957287411584
Guyana,0,-1.6235643983434622,-0.0013673446665692518
Haiti,0,-0.7050454006304676,-0.255866119632257
Honduras,0,-0.9450766438380469,-0.053355376943935946
India,2,1.4412824013689538,-0.3540957397310068
Indonesia,2,4.997280835232039,1.176177923493864
Jamaica,0,-1.604499573536183,-0.018634340723974813
Kenya,0,-1.4885385512767522,-0.040635860694072864
Lao People's Democratic Republic,0,-1.4468112804829418,0.09765573665406935
Liberia,0,-1.6215663999981378,-0.009836792155351404
Madagascar,0,-0.7720242314899568,-0.08321719792285547
Malawi,0,-1.6307024430978148,-0.008845991175808242
Mexico,2,2.9231657505810604,-0.10552411011073683
Nicaragua,0,-1.2096134083930814,-0.01780583420850825
Nigeria,0,-1.5252122121529608,-0.036285975169407965
Panama,0,-1.441068511066473,-0.06712986817164758
Papua New Guinea,0,-1.6288758940568413,-0.008952851138912442
Paraguay,0,-1.5806475354102512,-0.020772494809149247
Peru,0,-1.0247100687920712,-0.1318094087283772
Philippines,2,2.0735512251952226,1.0041895866890804
Rwanda,0,-1.6313008416069255,-0.008117610157263646
Sierra Leone,0,-1.618046754449024,-0.013801290472355853
Sri Lanka,0,-1.542266073394227,-0.03501150120889524
Tanzania,0,-1.539040337794731,0.036063970217434224
Thailand,0,-0.004111502175232182,0.46448441159483495
Timor-Leste,0,-1.634436880888677,-0.006348353413181966
Togo,0,-1.6312060759577012,-0.008535033656074515
Trinidad & Tobago,0,-1.6011971232077749,-0.0188780541015873
Uganda,0,-1.2436551671587768,0.029913178811928825
Venezuela,2,1.831300961454531,-0.3256144060444968
Viet Nam,0,0.7021862739281829,1.3059095586472929
Yemen,0,-1.4886465697620312,0.06685492339610508
Zambia,0,-1.6327741553291266,-0.008420278961275895
Zimbabwe,0,-1.620040003529115,-0.01384565814153706
