Year,Country,Consumption,Forecast
2020,Brazil,1344380092.8701305,True
2021,Brazil,1368535509.5484545,True
2022,Brazil,1392468320.551743,True
2023,Brazil,1416180577.315797,True
2024,Brazil,1439674312.371289,True
2020,Indonesia,295491245.5649023,True
2021,Indonesia,302618498.04999477,True
2022,Indonesia,309741759.6911681,True
2023,Indonesia,316861032.72306126,True
2024,Indonesia,323976319.37906176,True
2020,Ethiopia,231806114.47329345,True
2021,Ethiopia,236729165.9238887,True
2022,Ethiopia,241629261.8913542,True
2023,Ethiopia,246506509.41381678,True
2024,Ethiopia,251361015.0302999,True
2020,Mexico,145734197.1313951,True
2021,Mexico,145577862.78063604,True
2022,Mexico,145682221.14353174,True
2023,Mexico,145612558.47596452,True
2024,Mexico,145659060.61645356,True
2020,Philippines,200029882.1561816,True
2021,Philippines,205041654.04777727,True
2022,Philippines,210035380.8814207,True
2023,Philippines,215011127.62896687,True
2024,Philippines,219968959.02833733,True
