Year,Coffee type,Consumption,Forecast
2020,Arabica,570621207.645182,True
2021,Arabica,577425297.651562,True
2022,Arabica,584100594.936931,True
2023,Arabica,590649537.3827647,True
2024,Arabica,597074516.7245607,True
2020,Arabica/Robusta,1555148110.763567,True
2021,Arabica/Robusta,1583592763.5659006,True
2022,Arabica/Robusta,1611914491.9343426,True
2023,Arabica/Robusta,1640113827.0905802,True
2024,Arabica/Robusta,1668191297.9606094,True
2020,Robusta,59648660.81355862,True
2021,Robusta,59662667.60358901,True
2022,Robusta,59671175.11640753,True
2023,Robusta,59676342.45126442,True
2024,Robusta,59679481.01245061,True
2020,Robusta/Arabica,870641145.2248808,True
2021,Robusta/Arabica,892282208.5722343,True
2022,Robusta/Arabica,913923190.0423701,True
2023,Robusta/Arabica,935564089.6355981,True
2024,Robusta/Arabica,957204907.352228,True
