Country,Coffee type,Total_Consumption,Valid_Years_Count,Mean,Median,P25,P75,Variance,Std_Dev,Year_Max_Consumption,Year_Min_Consumption
Angola,Robusta/Arabica,46500000,30,1550000.0,1800000.0,1200000.0,1800000.0,174310344827.58618,417504.9039563322,1997,1995
Bolivia (Plurinational State of),Arabica,75180000,30,2506000.0,2490000.0,1957500.0,3007500.0,424907586206.8969,651849.3585230386,2019,1990
Brazil,Arabica/Robusta,27824700000,30,927490000.0,914520000.0,700500000.0,1199625000.0,7.765477524827582e+16,278666064.0413106,2018,1990
Burundi,Arabica/Robusta,3412020,30,113734.0,120000.0,115950.0,120000.0,152344721.37931025,12342.800386432174,1990,2007
Cameroon,Robusta/Arabica,143450940,30,4781698.0,4539510.0,4140000.0,4999980.0,540600909885.5175,735255.6765408326,1993,2010
Central African Republic,Robusta,24794400,30,826480.0,849990.0,245415.0,1200000.0,266467660220.6897,516205.05636877456,1990,2000
Colombia,Arabica,2536776384,30,84559212.8,78690720.0,76222185.0,89666865.0,170043671334736.2,13040079.422102313,2019,2006
Congo,Robusta,5360040,30,178668.0,180000.0,180000.0,180000.0,25695657.93103445,5069.088471415196,1990,1991
Costa Rica,Arabica,665335200,30,22177840.0,22500000.0,22500000.0,22500000.0,3796189268606.8965,1948381.1918120377,2015,2008
Cuba,Arabica,384006000,30,12800200.0,13200000.0,12195000.0,13200000.0,491686717241.3793,701203.7629971614,2002,1996
Côte d'Ivoire,Robusta,410260140,30,13675338.0,19000020.0,3000000.0,19020000.0,58946359916395.85,7677653.2818561075,2007,1990
Democratic Republic of Congo,Robusta/Arabica,359880000,30,11996000.0,12000000.0,12000000.0,12000000.0,480000000.0,21908.902300206646,1990,2019
Dominican Republic,Arabica/Robusta,642823380,30,21427446.0,22649940.0,19500000.0,22680000.0,2790413042238.622,1670452.9452333048,2016,1990
Ecuador,Arabica/Robusta,381540000,30,12718000.0,9300000.0,9000000.0,18000000.0,25306133793103.45,5030520.230861163,1990,2019
El Salvador,Arabica,417242040,30,13908068.0,14229000.0,10975005.0,16545000.0,9630288662830.346,3103270.639636567,2017,2000
Ethiopia,Arabica,4536540000,30,151218000.0,152610000.0,104820000.0,196980000.0,2606945499310345.0,51058255.93682519,2019,1990
Gabon,Robusta,1123140,30,37438.0,30510.0,18000.0,48000.0,400631209.65517235,20015.774020885936,1990,2009
Ghana,Robusta,9970800,30,332360.0,120000.0,95400.0,165000.0,234065766620.68967,483803.43800007214,1994,1998
Guatemala,Arabica/Robusta,590880000,30,19696000.0,18300000.0,18000000.0,21450000.0,4947376551724.143,2224269.8918351033,2017,1990
Guinea,Robusta,86730000,30,2891000.0,3000000.0,3000000.0,3000000.0,198154137931.0345,445145.07515082596,1992,1990
Guyana,Robusta,9203040,22,418320.0,501000.0,301515.0,532500.0,17473369028.571426,132186.87161958037,2015,2000
Haiti,Arabica,600600000,30,20020000.0,20400000.0,19800000.0,20400000.0,1743724137931.0354,1320501.472142699,2018,1990
Honduras,Arabica,471850680,30,15728356.0,14550000.0,12000000.0,20625000.0,20946066382411.04,4576687.271642125,2017,1998
India,Robusta/Arabica,2093460000,30,69782000.0,73200000.0,55005015.0,82125000.0,204160126896579.34,14288461.32012049,2018,1993
Indonesia,Robusta/Arabica,4920480000,30,164016000.0,135000000.0,92610000.0,230505000.0,6159914217931031.0,78485120.99711022,2019,1990
Jamaica,Arabica,18688020,30,622934.0,540000.0,540000.0,645000.0,35017996886.89653,187130.96186066198,1997,1992
Kenya,Arabica,95190000,30,3173000.0,3000000.0,3000000.0,3000000.0,135042413793.10345,367481.1747465487,2019,1990
Lao People's Democratic Republic,Robusta,157980000,18,8776666.666666666,9000000.0,8550000.0,9000000.0,560670588235.2941,748779.3989121857,2002,2003
Liberia,Robusta,8640000,30,288000.0,300000.0,300000.0,300000.0,1340689655.172413,36615.42919552375,1993,1990
Madagascar,Robusta,588705960,30,19623532.0,21750000.0,10770000.0,26700000.0,61515719701754.49,7843195.758219636,2004,1999
Malawi,Arabica,2340000,30,78000.0,60000.0,60000.0,120000.0,782068965.5172412,27965.49598196394,1990,1999
Mexico,Arabica/Robusta,3189660000,30,106322000.0,96750000.0,75075000.0,140550000.0,1025746382068966.1,32027275.595482145,2018,1994
Nicaragua,Arabica,299700300,30,9990010.0,11129910.0,7647000.0,12432795.0,9362266329620.691,3059782.0722431676,2018,1990
Nigeria,Robusta,70740000,30,2358000.0,2400000.0,2400000.0,2400000.0,22056206896.55172,148513.3222864256,1993,1990
Panama,Arabica,122916960,30,4097232.0,4020000.0,4020000.0,4020000.0,53629370913.10347,231580.16087977716,1997,1990
Papua New Guinea,Arabica/Robusta,3608400,30,120280.0,120000.0,120000.0,120000.0,625501324.137931,25010.02447295746,1990,1998
